2024-02-24 21:21:42.248 [background-preinit]  INFO org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-24 21:21:42.274 [main]  INFO org.hanghae.markethub.MarkethubApplication - Starting MarkethubApplication using Java 17.0.7 with PID 16608 (C:\Download\markethub\build\classes\java\main started by white in C:\Download\markethub)
2024-02-24 21:21:42.274 [main] DEBUG org.hanghae.markethub.MarkethubApplication - Running with Spring Boot v3.2.2, Spring v6.1.3
2024-02-24 21:21:42.274 [main]  INFO org.hanghae.markethub.MarkethubApplication - The following 1 profile is active: "local"
2024-02-24 21:21:43.101 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-02-24 21:21:43.103 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-02-24 21:21:43.253 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data JPA - Could not safely identify store assignment for repository candidate interface org.hanghae.markethub.domain.cart.repository.RedisRepository; If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: jakarta.persistence.Entity, jakarta.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository
2024-02-24 21:21:43.273 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 166 ms. Found 6 JPA repository interfaces.
2024-02-24 21:21:43.281 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-02-24 21:21:43.282 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-02-24 21:21:43.292 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface org.hanghae.markethub.domain.cart.repository.CartRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-02-24 21:21:43.293 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface org.hanghae.markethub.domain.item.repository.ItemRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-02-24 21:21:43.293 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface org.hanghae.markethub.domain.picture.repository.PictureRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-02-24 21:21:43.293 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface org.hanghae.markethub.domain.purchase.repository.PurchaseRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-02-24 21:21:43.293 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface org.hanghae.markethub.domain.store.repository.StoreRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-02-24 21:21:43.293 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface org.hanghae.markethub.domain.user.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2024-02-24 21:21:43.297 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 1 Redis repository interface.
2024-02-24 21:21:43.770 [main]  INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-02-24 21:21:43.776 [main]  INFO org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-02-24 21:21:43.777 [main]  INFO org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-02-24 21:21:43.778 [main]  INFO org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-02-24 21:21:43.821 [main]  INFO org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-02-24 21:21:43.821 [main]  INFO org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1413 ms
2024-02-24 21:21:43.981 [main]  INFO org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-02-24 21:21:44.031 [main]  INFO org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2024-02-24 21:21:44.053 [main]  INFO org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-02-24 21:21:44.200 [main]  INFO org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-02-24 21:21:44.221 [main]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-02-24 21:21:44.409 [main]  INFO com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3e984100
2024-02-24 21:21:44.411 [main]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-02-24 21:21:45.110 [main]  INFO org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-02-24 21:21:45.179 [main]  INFO org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-02-24 21:21:45.365 [main]  INFO org.springframework.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-02-24 21:21:45.665 [main] DEBUG org.hanghae.markethub.global.jwt.JwtAuthenticationFilter - Filter 'jwtAuthenticationFilter' configured for use
2024-02-24 21:21:45.666 [main] DEBUG org.hanghae.markethub.global.jwt.JwtAuthorizationFilter - Filter 'jwtAuthorizationFilter' configured for use
2024-02-24 21:21:46.842 [main]  INFO org.redisson.Version - Redisson 3.17.0
2024-02-24 21:21:46.912 [redisson-netty-5-21]  INFO org.redisson.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2024-02-24 21:21:46.926 [redisson-netty-5-20]  INFO org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for localhost/127.0.0.1:6379
2024-02-24 21:21:47.146 [main]  WARN org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-02-24 21:21:47.211 [main]  INFO org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2024-02-24 21:21:47.802 [main]  INFO org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-02-24 21:21:47.842 [main]  INFO org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@c12384a, org.springframework.web.filter.CorsFilter@2f75c3f3, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@18ea1b84, org.springframework.security.web.context.SecurityContextHolderFilter@46aa79a3, org.springframework.security.web.header.HeaderWriterFilter@3209eb, org.springframework.web.filter.CorsFilter@2f75c3f3, org.springframework.security.web.authentication.logout.LogoutFilter@305c8bf, org.hanghae.markethub.global.jwt.JwtAuthorizationFilter@47c89a33, org.hanghae.markethub.global.jwt.JwtAuthenticationFilter@3e242f6e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@42afb24c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3d746c8f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4daf8e98, org.springframework.security.web.session.SessionManagementFilter@1b00f13, org.springframework.security.web.access.ExceptionTranslationFilter@6c6ea911, org.springframework.security.web.access.intercept.AuthorizationFilter@67cc7aee]
2024-02-24 21:21:48.247 [main]  INFO org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-02-24 21:21:48.256 [main]  INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-02-24 21:21:48.266 [main]  INFO org.hanghae.markethub.MarkethubApplication - Started MarkethubApplication in 6.29 seconds (process running for 6.682)
2024-02-24 21:21:48.815 [RMI TCP Connection(2)-192.168.0.5]  INFO org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-02-24 21:21:48.816 [RMI TCP Connection(2)-192.168.0.5]  INFO org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-02-24 21:21:48.818 [RMI TCP Connection(2)-192.168.0.5]  INFO org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-02-24 21:22:24.715 [SpringApplicationShutdownHook]  INFO org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-02-24 21:22:24.716 [SpringApplicationShutdownHook]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-02-24 21:22:24.720 [SpringApplicationShutdownHook]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-02-24 21:22:26.996 [background-preinit]  INFO org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-24 21:22:27.023 [main]  INFO org.hanghae.markethub.MarkethubApplication - Starting MarkethubApplication using Java 17.0.7 with PID 25540 (C:\Download\markethub\build\classes\java\main started by white in C:\Download\markethub)
2024-02-24 21:22:27.024 [main] DEBUG org.hanghae.markethub.MarkethubApplication - Running with Spring Boot v3.2.2, Spring v6.1.3
2024-02-24 21:22:27.024 [main]  INFO org.hanghae.markethub.MarkethubApplication - The following 1 profile is active: "local"
2024-02-24 21:22:27.898 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-02-24 21:22:27.899 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-02-24 21:22:28.043 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data JPA - Could not safely identify store assignment for repository candidate interface org.hanghae.markethub.domain.cart.repository.RedisRepository; If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: jakarta.persistence.Entity, jakarta.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository
2024-02-24 21:22:28.069 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 165 ms. Found 6 JPA repository interfaces.
2024-02-24 21:22:28.076 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-02-24 21:22:28.077 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-02-24 21:22:28.088 [main]  INFO org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface org.hanghae.markethub.domain.cart.repository.CartRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
